1 & 14.1347251417 
2 & 21.0220396388 
3 & 25.0108575801 
4 & 30.4248761259 
5 & 32.9350615877 
6 & 37.5861781588 
7 & 40.9187190121 
8 & 43.3270732809 
9 & 48.0051508812 
10 & 49.7738324777 
11 & 52.9703214777 
12 & 56.4462476971 
13 & 59.3470440026 
14 & 60.8317785246 
15 & 65.1125440481 
16 & 67.0798105295 
17 & 69.5464017112 
18 & 72.0671576745 
19 & 75.7046906991 
20 & 77.1448400689 
21 & 79.3373750203 
22 & 82.9103808541 
23 & 84.7354929805 
24 & 87.4252746131 
25 & 88.8091112076 
26 & 92.4918992706 
27 & 94.6513440405 
28 & 95.8706342282 
29 & 98.8311942182 
30 & 101.3178510057 
31 & 103.7255380405 
32 & 105.4466230523 
33 & 107.1686111843 
34 & 111.0295355432 
35 & 114.3202209155 
36 & 116.2266803209 
37 & 118.7907828660 
38 & 121.3701250024 
39 & 122.9468292935 
40 & 124.2568185543 
41 & 127.5166838796 
42 & 129.5787042000 
43 & 131.0876885309 
44 & 133.4977372030 
45 & 134.7565097534 
46 & 138.1160420545 
47 & 139.7362089521 
48 & 141.1237074040 
49 & 143.1118458076 
50 & 146.0009824868 
51 & 147.4227653426 
52 & 153.0246938112 
53 & 156.1129092942 
54 & 157.5975918176 
55 & 158.8499881714 
56 & 161.1889641376 
57 & 163.0307096872 
58 & 165.5370691879 
59 & 167.1844399782 
60 & 173.4115365196 
61 & 174.7541915234 
62 & 176.4414342977 
63 & 178.3774077761 
64 & 179.9164840203 
65 & 182.2070784844 
66 & 184.8744678484 
67 & 185.5987836777 
68 & 187.2289225835 
69 & 189.4161586560 
70 & 192.0266563607 
71 & 193.0797266038 
72 & 195.2653966795 
73 & 196.8764818410 
74 & 198.0153096763 
75 & 201.2647519437 
76 & 202.4935945141 
77 & 204.1896718031 
78 & 205.3946972022 
79 & 207.9062588878 
80 & 209.5765097169 
81 & 211.6908625954 
82 & 213.3479193597 
83 & 214.5470447835 
84 & 216.1695385083 
85 & 219.0675963490 
86 & 220.7149188393 
87 & 221.4307055547 
88 & 227.4214442797 
89 & 229.3374133055 
90 & 233.6934041789 
91 & 236.5242296658 
92 & 237.7698204809 
93 & 239.5554775733 
94 & 241.0491577962 
95 & 242.8232719342 
96 & 244.0708984971 
97 & 247.1369900749 
98 & 248.1019900602 
99 & 249.5736896447 
100 & 251.0149477950 
